x,y,length
92.0,22.0,6851850.0
77.0,22.0,7109275.0
82.0,22.0,6933425.0
67.0,22.0,7487200.0
72.0,22.0,7296575.0
137.0,22.0,6633675.0
142.0,22.0,6623475.0
127.0,22.0,6662150.0
132.0,22.0,6646550.0
117.0,22.0,6701725.0
122.0,22.0,6680525.0
107.0,22.0,6752800.0
112.0,22.0,6725800.0
632.0,22.0,6342450.0
627.0,22.0,6196525.0
642.0,22.0,6641325.0
637.0,22.0,6490700.0
652.0,22.0,6949900.0
647.0,22.0,6794375.0
662.0,22.0,7268575.0
657.0,22.0,7107950.0
672.0,22.0,8104775.0
667.0,22.0,7987075.0
682.0,22.0,8338500.0
677.0,22.0,8221950.0
692.0,22.0,8569325.0
687.0,22.0,8454325.0
702.0,22.0,8796450.0
697.0,22.0,8683400.0
547.0,22.0,4167125.0
552.0,22.0,4276650.0
557.0,22.0,4387700.0
562.0,22.0,4500325.0
567.0,22.0,4614575.0
572.0,22.0,4730500.0
577.0,22.0,4854150.0
582.0,22.0,4979575.0
587.0,22.0,5106825.0
592.0,22.0,5235950.0
597.0,22.0,5367000.0
602.0,22.0,5500025.0
607.0,22.0,5635075.0
612.0,22.0,5772200.0
617.0,22.0,5911450.0
622.0,22.0,6052875.0
482.0,22.0,3606725.0
477.0,22.0,3599750.0
472.0,22.0,3592500.0
467.0,22.0,3585075.0
502.0,22.0,3629875.0
497.0,22.0,3625000.0
492.0,22.0,3619450.0
487.0,22.0,3613325.0
522.0,22.0,3640625.0
517.0,22.0,3639450.0
512.0,22.0,3637200.0
507.0,22.0,3633975.0
542.0,22.0,4059075.0
537.0,22.0,3952450.0
532.0,22.0,3847200.0
527.0,22.0,3743275.0
397.0,22.0,3484525.0
402.0,22.0,3485125.0
387.0,22.0,3483600.0
392.0,22.0,3484000.0
417.0,22.0,3486875.0
422.0,22.0,3487275.0
407.0,22.0,3485750.0
412.0,22.0,3486350.0
437.0,22.0,3525575.0
442.0,22.0,3548825.0
427.0,22.0,3487500.0
432.0,22.0,3505100.0
457.0,22.0,3570100.0
462.0,22.0,3577575.0
447.0,22.0,3555625.0
452.0,22.0,3562750.0
252.0,27.0,5460600.0
257.0,27.0,5338875.0
262.0,27.0,5218625.0
267.0,27.0,5102925.0
232.0,27.0,5963250.0
237.0,27.0,5835125.0
242.0,27.0,5708675.0
247.0,27.0,5583850.0
212.0,27.0,6493500.0
217.0,27.0,6358175.0
222.0,27.0,6224725.0
227.0,27.0,6093100.0
192.0,27.0,6314550.0
197.0,27.0,6310400.0
202.0,27.0,6308375.0
207.0,27.0,6630750.0
177.0,27.0,6340750.0
172.0,27.0,6354400.0
187.0,27.0,6320925.0
182.0,27.0,6329625.0
157.0,27.0,6411500.0
152.0,27.0,6413975.0
167.0,27.0,6370675.0
162.0,27.0,6389675.0
137.0,27.0,6436750.0
132.0,27.0,6449625.0
147.0,27.0,6418975.0
142.0,27.0,6426550.0
117.0,27.0,6504800.0
112.0,27.0,6528875.0
127.0,27.0,6465225.0
122.0,27.0,6483600.0
102.0,27.0,6585850.0
107.0,27.0,6555875.0
92.0,27.0,6654925.0
97.0,27.0,6618850.0
82.0,27.0,6866750.0
87.0,27.0,6694125.0
72.0,27.0,7238075.0
77.0,27.0,7050775.0
62.0,27.0,7622700.0
67.0,27.0,7428700.0
52.0,27.0,8021025.0
57.0,27.0,7820125.0
42.0,27.0,8433450.0
47.0,27.0,8225450.0
32.0,27.0,8860375.0
37.0,27.0,8645075.0
27.0,27.0,9189525.0
22.0,27.0,9261025.0
17.0,27.0,9336350.0
12.0,27.0,9415550.0
7.0,27.0,9498675.0
2.0,27.0,9585775.0
747.0,22.0,9751275.0
742.0,22.0,9651950.0
737.0,22.0,9550700.0
732.0,22.0,9447625.0
727.0,22.0,9342825.0
722.0,22.0,9236400.0
717.0,22.0,9128450.0
712.0,22.0,9019075.0
707.0,22.0,8908375.0
552.0,27.0,4226775.0
557.0,27.0,4337825.0
562.0,27.0,4450450.0
567.0,27.0,4564700.0
572.0,27.0,4686625.0
577.0,27.0,4810275.0
582.0,27.0,4935700.0
587.0,27.0,5062950.0
512.0,27.0,3488200.0
517.0,27.0,3489325.0
522.0,27.0,3590750.0
527.0,27.0,3693400.0
532.0,27.0,3797325.0
537.0,27.0,3902575.0
542.0,27.0,4009200.0
547.0,27.0,4117250.0
477.0,27.0,3457225.0
472.0,27.0,3450700.0
487.0,27.0,3469200.0
482.0,27.0,3463425.0
497.0,27.0,3479075.0
492.0,27.0,3474450.0
507.0,27.0,3486050.0
502.0,27.0,3482975.0
437.0,27.0,3387450.0
432.0,27.0,3367300.0
447.0,27.0,3416700.0
442.0,27.0,3410325.0
457.0,27.0,3430175.0
452.0,27.0,3423350.0
467.0,27.0,3443950.0
462.0,27.0,3437075.0
402.0,27.0,3347600.0
407.0,27.0,3348225.0
392.0,27.0,3346475.0
397.0,27.0,3347000.0
422.0,27.0,3349750.0
427.0,27.0,3349975.0
