x,y,length
435.0,135.0,712800.0
425.0,135.0,712300.0
705.0,135.0,2378000.0
715.0,135.0,2420700.0
685.0,135.0,2279500.0
695.0,135.0,2330800.0
665.0,135.0,2166200.0
675.0,135.0,2224500.0
655.0,135.0,2105000.0
115.0,145.0,2353300.0
105.0,145.0,2370400.0
95.0,145.0,2393600.0
85.0,145.0,2423100.0
75.0,145.0,2459100.0
65.0,145.0,2501800.0
55.0,145.0,2551400.0
45.0,145.0,2608100.0
35.0,145.0,2672100.0
25.0,145.0,2743600.0
15.0,145.0,2822800.0
5.0,145.0,2909900.0
745.0,135.0,2517800.0
735.0,135.0,2491000.0
725.0,135.0,2458500.0
445.0,125.0,792800.0
435.0,125.0,792100.0
655.0,125.0,2245900.0
675.0,125.0,2375800.0
665.0,125.0,2312200.0
525.0,125.0,2228500.0
25.0,135.0,2889400.0
35.0,135.0,2817900.0
5.0,135.0,3055700.0
15.0,135.0,2968600.0
65.0,135.0,2647600.0
75.0,135.0,2604900.0
45.0,135.0,2753900.0
55.0,135.0,2697200.0
705.0,125.0,2546400.0
715.0,125.0,2595200.0
685.0,125.0,2436300.0
695.0,125.0,2493300.0
745.0,125.0,2711800.0
725.0,125.0,2639300.0
735.0,125.0,2678300.0
185.0,135.0,1802300.0
175.0,135.0,1928100.0
235.0,135.0,1424400.0
225.0,135.0,1441900.0
215.0,135.0,1445600.0
205.0,135.0,1558500.0
115.0,135.0,2499100.0
105.0,135.0,2516200.0
95.0,135.0,2539400.0
85.0,135.0,2568900.0
145.0,135.0,2440000.0
135.0,135.0,2482400.0
125.0,135.0,2487900.0
55.0,155.0,2410900.0
45.0,155.0,2467600.0
75.0,155.0,2318600.0
65.0,155.0,2361300.0
15.0,155.0,2682300.0
5.0,155.0,2854400.0
35.0,155.0,2531600.0
25.0,155.0,2603100.0
135.0,155.0,2196100.0
125.0,155.0,2201600.0
145.0,155.0,2164300.0
95.0,155.0,2253100.0
85.0,155.0,2282600.0
115.0,155.0,2212800.0
105.0,155.0,2229900.0
225.0,155.0,1236600.0
235.0,155.0,1226100.0
285.0,155.0,911700.0
295.0,155.0,909400.0
305.0,155.0,970300.0
315.0,155.0,902700.0
395.0,155.0,567500.0
385.0,155.0,567000.0
345.0,155.0,719900.0
335.0,155.0,777700.0
325.0,155.0,837000.0
435.0,155.0,570500.0
425.0,155.0,570000.0
415.0,155.0,569200.0
405.0,155.0,568300.0
545.0,155.0,757600.0
555.0,155.0,763400.0
525.0,155.0,739500.0
535.0,155.0,749500.0
605.0,155.0,1088900.0
585.0,155.0,916000.0
595.0,155.0,1000500.0
565.0,155.0,766500.0
575.0,155.0,839500.0
135.0,145.0,2336600.0
125.0,145.0,2342100.0
145.0,145.0,2299500.0
235.0,145.0,1322600.0
225.0,145.0,1336600.0
275.0,145.0,996200.0
285.0,145.0,993700.0
295.0,145.0,989100.0
305.0,145.0,980300.0
315.0,145.0,912700.0
325.0,145.0,851700.0
335.0,145.0,792400.0
385.0,145.0,635500.0
395.0,145.0,636000.0
405.0,145.0,636800.0
415.0,145.0,637700.0
425.0,145.0,638500.0
435.0,145.0,639000.0
555.0,145.0,853500.0
545.0,145.0,844800.0
535.0,145.0,834000.0
525.0,145.0,821500.0
595.0,145.0,1019700.0
585.0,145.0,939500.0
575.0,145.0,863000.0
565.0,145.0,859700.0
605.0,145.0,1108100.0
665.0,145.0,2025700.0
675.0,145.0,2078700.0
645.0,145.0,1910800.0
655.0,145.0,1969600.0
705.0,145.0,2215100.0
715.0,145.0,2251700.0
685.0,145.0,2128200.0
695.0,145.0,2173800.0
745.0,145.0,2329300.0
725.0,145.0,2283200.0
735.0,145.0,2309200.0
75.0,175.0,2052700.0
65.0,175.0,2095400.0
55.0,175.0,2145000.0
45.0,175.0,2201700.0
35.0,175.0,2265700.0
25.0,175.0,2422200.0
15.0,175.0,2586400.0
5.0,175.0,2758500.0
745.0,165.0,1968000.0
735.0,165.0,1961300.0
725.0,165.0,1948300.0
715.0,165.0,1929400.0
705.0,165.0,1905000.0
695.0,165.0,1875500.0
685.0,165.0,1841300.0
665.0,165.0,1760400.0
675.0,165.0,1802800.0
645.0,165.0,1665500.0
655.0,165.0,1714500.0
585.0,165.0,901900.0
595.0,165.0,986400.0
565.0,165.0,748100.0
575.0,165.0,821100.0
545.0,165.0,675500.0
555.0,165.0,678400.0
525.0,165.0,662600.0
535.0,165.0,670100.0
375.0,175.0,543700.0
365.0,175.0,593700.0
395.0,175.0,445600.0
385.0,175.0,494400.0
355.0,175.0,649100.0
345.0,175.0,705600.0
285.0,175.0,762800.0
215.0,175.0,1066500.0
225.0,175.0,1051700.0
235.0,175.0,1048200.0
125.0,175.0,1935700.0
135.0,175.0,1930200.0
145.0,175.0,1909000.0
85.0,175.0,2016700.0
95.0,175.0,1987200.0
105.0,175.0,1964000.0
